,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,39,,,Bachelors,,Never-married,Adm-clerical,Not-in-family,,Male,,,40,United-States,<=50K
1,50,Self-emp-not-inc,83311,Bachelors,,,,,White,Male,0,0,,United-States,<=50K
2,38,Private,,HS-grad,9,,Handlers-cleaners,,White,Male,0,0,,,<=50K
3,,Private,234721,,7,Married-civ-spouse,,,,Male,0,0,,,<=50K
4,49,Private,,9th,5,Married-spouse-absent,Other-service,Not-in-family,Black,Female,,0,,,<=50K
5,52,,,,,,Exec-managerial,Husband,White,Male,,,,United-States,>50K
6,31,,45781,,14,,Prof-specialty,Not-in-family,,Female,14084,0,50,United-States,
7,,,159449,Bachelors,13,,Exec-managerial,Husband,White,Male,,,40,United-States,>50K
8,,State-gov,141297,Bachelors,,Married-civ-spouse,Prof-specialty,Husband,,,0,,,India,>50K
9,23,Private,,Bachelors,13,,Adm-clerical,Own-child,,Female,0,0,30,United-States,<=50K
10,32,Private,205019,,12,Never-married,Sales,,Black,Male,0,0,50,United-States,<=50K
11,40,Private,121772,Assoc-voc,,,Craft-repair,Husband,,Male,,0,40,,
12,34,,245487,7th-8th,,,,,,Male,,0,45,Mexico,
13,25,,176756,,9,,Farming-fishing,Own-child,,,0,0,,United-States,<=50K
14,,,186824,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,,Male,,,40,,<=50K
15,38,Private,28887,11th,7,Married-civ-spouse,Sales,,,Male,0,0,50,United-States,
16,,Self-emp-not-inc,,,14,Divorced,Exec-managerial,,White,Female,0,0,,United-States,>50K
17,,Private,193524,Doctorate,,,Prof-specialty,Husband,,,,0,60,United-States,>50K
18,,,,HS-grad,,Separated,,,Black,,0,0,20,,
19,,Private,117037,11th,,,Transport-moving,Husband,White,,0,,40,United-States,
20,59,,,HS-grad,,Divorced,Tech-support,Unmarried,White,,0,,40,,
21,,Local-gov,,,13,,,,,Male,,,,United-States,>50K
22,,,,Some-college,10,Married-civ-spouse,,,Asian-Pac-Islander,Male,0,0,,,
23,39,Private,,HS-grad,,,Exec-managerial,,White,,0,0,80,,
24,20,Private,266015,,,Never-married,Sales,Own-child,Black,,0,,,United-States,
25,,Private,386940,,13,Divorced,,Own-child,White,Male,0,1408,,United-States,
26,,State-gov,311512,Some-college,10,Married-civ-spouse,,Husband,Black,Male,0,0,15,,<=50K
27,21,,,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,,,,,
28,31,,84154,,10,Married-civ-spouse,Sales,,White,Male,0,,,,>50K
29,31,Private,507875,,,,Machine-op-inspct,Husband,,,0,,43,United-States,
30,53,Self-emp-not-inc,,Bachelors,13,,,Husband,White,Male,,0,40,United-States,<=50K
31,49,,,HS-grad,9,Separated,,,White,,0,0,40,United-States,
32,,,289980,,,Never-married,Handlers-cleaners,,White,,0,,,,<=50K
33,53,,,HS-grad,9,,Machine-op-inspct,Husband,White,,0,,,,
34,,Private,128354,,,,Exec-managerial,Unmarried,White,,0,0,40,United-States,
35,,Private,,,,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,43,United-States,
36,,Private,32275,,10,Married-civ-spouse,Exec-managerial,,Other,Female,0,,,United-States,
37,18,Private,,,,,Other-service,Own-child,White,Female,,,,,<=50K
38,,Private,,Prof-school,15,Married-civ-spouse,,Wife,,Female,0,,,Honduras,
39,,Self-emp-inc,109832,HS-grad,9,,Exec-managerial,,White,,0,,,United-States,<=50K
40,43,,,Some-college,10,,,Husband,,,0,0,40,United-States,
41,,Private,,5th-6th,3,,,,White,Male,0,0,,Mexico,<=50K
42,,,56352,Assoc-voc,11,,,Husband,White,,,0,40,Puerto-Rico,<=50K
43,41,,,,,,Adm-clerical,Husband,White,Male,,0,48,United-States,<=50K
44,30,,,,,,,,,Male,,,,United-States,<=50K
45,32,,293936,7th-8th,,Married-spouse-absent,,,,Male,0,0,40,,
46,48,Private,149640,,,Married-civ-spouse,Transport-moving,,White,Male,0,,40,,<=50K
47,42,Private,116632,,16,,Prof-specialty,Husband,White,Male,0,,45,United-States,
48,,Private,,HS-grad,9,,Craft-repair,Husband,,,,0,40,,<=50K
49,53,,,HS-grad,9,,Adm-clerical,Wife,,Female,,0,40,United-States,>50K
50,49,,191681,Some-college,10,Married-civ-spouse,,,,Male,,0,50,United-States,>50K
51,,,200681,Some-college,10,,,,White,Male,,,40,United-States,<=50K
52,,Private,101509,Some-college,,Never-married,Prof-specialty,Own-child,,Male,0,,32,United-States,
53,31,Private,309974,Bachelors,13,Separated,,,Black,Female,0,,40,United-States,<=50K
54,29,Self-emp-not-inc,,,,Married-civ-spouse,,Husband,,Male,0,0,,,
55,,Private,,Some-college,10,,Machine-op-inspct,Not-in-family,,Male,,0,40,United-States,<=50K
56,79,,124744,,,Married-civ-spouse,Prof-specialty,,,Male,0,0,20,United-States,<=50K
57,,Private,213921,,9,Never-married,Other-service,Own-child,,,0,,40,Mexico,
58,40,Private,32214,Assoc-acdm,,,Adm-clerical,Husband,White,Male,0,,40,United-States,<=50K
59,,,212759,10th,6,Married-civ-spouse,,,White,Male,,,,United-States,<=50K
60,,Private,309634,,7,Never-married,,Own-child,White,Female,0,0,22,,<=50K
61,31,Local-gov,,,4,Married-civ-spouse,,,,,0,,,United-States,
62,52,,276515,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,,<=50K
63,,,51618,,9,Married-civ-spouse,,Wife,White,,0,,,United-States,
64,59,Private,,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,,48,United-States,<=50K
65,44,Private,,,,Divorced,Craft-repair,Not-in-family,,Female,14344,,,United-States,>50K
66,,,346253,HS-grad,9,Divorced,Sales,,White,,0,0,,,<=50K
67,,,202051,,14,Married-civ-spouse,Prof-specialty,,,,0,0,,United-States,<=50K
68,30,Private,,,5,Never-married,Sales,,White,Male,0,0,40,United-States,<=50K
69,43,,,Doctorate,16,Never-married,,Not-in-family,,,0,,,United-States,>50K
70,37,Private,,Some-college,10,Divorced,,Unmarried,White,Female,0,,,,
71,28,,,,10,,Machine-op-inspct,Unmarried,Black,,0,0,25,United-States,<=50K
72,30,,,,9,Married-civ-spouse,,,Asian-Pac-Islander,,0,,35,,
73,29,Local-gov,,,,Never-married,Handlers-cleaners,,,Male,0,0,50,,<=50K
74,48,Self-emp-not-inc,,Doctorate,,Married-civ-spouse,,,,Male,0,,,United-States,>50K
75,,,,,10,Married-civ-spouse,Sales,Husband,White,Male,,0,,United-States,>50K
76,48,Private,171095,,12,Divorced,Exec-managerial,,White,Female,0,,,England,<=50K
77,,Federal-gov,249409,HS-grad,9,,,Own-child,Black,,0,0,40,United-States,
78,76,,124191,,14,Married-civ-spouse,,,White,Male,,0,40,United-States,>50K
79,44,Private,,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,,,,,,
80,20,Private,188300,Some-college,,,,,White,,0,0,40,United-States,
81,29,Private,103432,HS-grad,,,,Not-in-family,,Male,,0,40,United-States,
82,,,,,6,,,,White,Female,34095,,32,United-States,<=50K
83,31,Local-gov,189265,,,Never-married,Adm-clerical,,,,0,,,,
84,42,,124692,HS-grad,,Married-civ-spouse,,Husband,White,Male,0,0,40,,<=50K
85,24,,432376,,,Never-married,Sales,Other-relative,White,Male,0,0,,United-States,
86,28,,377869,Some-college,,Married-civ-spouse,,Wife,White,,,0,25,,
87,53,Private,95647,9th,,,Handlers-cleaners,Husband,,,,0,50,,<=50K
88,56,,303090,Some-college,10,,Sales,Husband,White,Male,,0,50,,<=50K
89,49,,,Assoc-voc,11,Married-civ-spouse,,Husband,,,,,40,United-States,>50K
90,,Private,,Some-college,,Married-civ-spouse,Sales,Husband,,Male,0,0,56,United-States,
91,22,,,,,Never-married,Craft-repair,Not-in-family,,,,,41,United-States,
92,,,,Some-college,,,Other-service,,White,,0,,40,United-States,
93,40,Private,118853,,13,Married-civ-spouse,,,White,Male,,,60,United-States,
94,29,State-gov,,,13,Married-civ-spouse,,Husband,White,Male,0,0,50,,>50K
95,,Private,287828,,13,Married-civ-spouse,Exec-managerial,,White,Female,0,0,,United-States,>50K
96,31,,114937,,12,,Adm-clerical,,White,Male,,0,40,United-States,
97,,,129305,HS-grad,,Married-civ-spouse,,Husband,White,Male,0,,40,United-States,
98,,,,Assoc-acdm,,Never-married,Sales,Not-in-family,White,,,0,60,United-States,
99,24,Private,43323,HS-grad,9,Never-married,Other-service,,White,Female,0,1762,40,United-States,<=50K
100,38,Self-emp-not-inc,120985,,,Married-civ-spouse,Craft-repair,Husband,,,4386,0,35,,<=50K
101,38,Federal-gov,,,,Married-civ-spouse,,Husband,White,,,0,40,,
102,43,,,HS-grad,,Married-civ-spouse,Craft-repair,Husband,,Male,,0,,United-States,
103,27,Private,163127,,,,,,,,0,0,35,United-States,<=50K
104,49,,,Some-college,,Married-civ-spouse,,Husband,,,0,,,United-States,
105,,Self-emp-inc,,HS-grad,9,,Craft-repair,Husband,,,,,40,,<=50K
106,27,,232782,Some-college,10,Never-married,,Own-child,White,,,0,40,United-States,<=50K
107,,Private,185814,,9,Never-married,Transport-moving,,Black,Female,,,,United-States,
108,22,,175374,,,,,,,Male,,0,24,United-States,
109,36,Private,,HS-grad,9,Widowed,,Unmarried,White,Female,0,,,United-States,
110,64,Private,181232,11th,,Married-civ-spouse,Craft-repair,Husband,,Male,,2179,,,
111,,,174662,,10,Divorced,,,,,0,0,,United-States,<=50K
112,47,,,,,Divorced,Adm-clerical,Unmarried,White,Female,0,0,,,<=50K
113,,,,,,Never-married,Adm-clerical,,White,Female,0,0,40,,<=50K
114,21,Private,296158,HS-grad,,Never-married,,,White,,0,,,United-States,<=50K
115,52,,252903,HS-grad,9,,,Not-in-family,White,Male,,,,United-States,>50K
116,,,,HS-grad,9,,Craft-repair,,White,Male,,0,46,United-States,
117,29,Private,191535,,9,Divorced,Craft-repair,Not-in-family,,Male,0,,,United-States,<=50K
118,68,,,1st-4th,,,,,White,,,,20,United-States,<=50K
119,25,Private,,HS-grad,,Never-married,Other-service,Unmarried,,Female,0,0,40,,<=50K
120,44,Self-emp-inc,,Masters,14,,Exec-managerial,,,Female,0,,,United-States,
121,,,,Masters,14,Married-civ-spouse,,Husband,,Male,0,,,,>50K
122,36,,,,10,,Other-service,Unmarried,,Female,,,40,,<=50K
123,39,,235485,Assoc-acdm,12,Never-married,,Not-in-family,,Male,,,,United-States,<=50K
124,46,State-gov,102628,Masters,14,Widowed,,Unmarried,,Male,0,0,,,<=50K
125,66,,54826,Assoc-voc,,,Prof-specialty,Not-in-family,,Female,0,0,20,United-States,<=50K
126,27,Private,124953,,,Never-married,Other-service,Not-in-family,,Male,0,1980,40,,<=50K
127,51,Private,,,,Married-civ-spouse,Sales,,,Male,0,,40,,>50K
128,27,,428030,,13,,Craft-repair,Not-in-family,White,Male,,0,50,,
129,,State-gov,149624,,,Married-civ-spouse,,Husband,,Male,,,40,,>50K
130,21,,312956,,,Never-married,,Own-child,Black,Male,,0,,United-States,
131,,,,HS-grad,9,,,,White,Male,0,0,12,United-States,
132,,,37274,,13,,Prof-specialty,Husband,White,Male,0,0,65,,
133,30,Private,633742,,10,,,,Black,,0,,45,United-States,
134,40,Private,,7th-8th,,Married-civ-spouse,Machine-op-inspct,Husband,,,0,0,40,,
