,sepal length,sepal width,petal length,petal width,type
0,,3.0,,,Iris-setosa
1,,3.1,1.5,0.2,Iris-setosa
2,5.4,,1.7,,Iris-setosa
3,,3.4,1.4,0.3,Iris-setosa
4,5.0,3.4,1.5,0.2,Iris-setosa
5,4.9,3.1,1.5,0.1,
6,4.8,3.4,1.6,0.2,Iris-setosa
7,,3.0,1.4,0.1,Iris-setosa
8,5.8,,1.2,0.2,Iris-setosa
9,,3.9,,,Iris-setosa
10,5.1,3.5,,0.3,Iris-setosa
11,5.1,3.8,1.5,0.3,Iris-setosa
12,5.4,3.4,1.7,0.2,
13,,3.7,1.5,,Iris-setosa
14,,,,,
15,,,1.9,,
16,5.0,3.0,1.6,,Iris-setosa
17,,,1.6,0.4,Iris-setosa
18,4.8,3.1,,0.2,
19,,3.4,,0.4,
20,5.2,,1.5,0.1,Iris-setosa
21,,,1.4,,
22,4.9,,1.5,0.1,Iris-setosa
23,5.0,3.2,1.2,0.2,Iris-setosa
24,5.5,3.5,,,Iris-setosa
25,,3.1,1.5,,Iris-setosa
26,4.4,3.0,1.3,0.2,
27,5.1,3.4,,,
28,,3.5,1.3,0.3,
29,,3.2,1.3,,Iris-setosa
30,5.0,3.5,1.6,,Iris-setosa
31,5.1,3.8,1.6,0.2,Iris-setosa
32,5.3,3.7,,0.2,Iris-setosa
33,5.0,3.3,1.4,0.2,Iris-setosa
34,7.0,3.2,,1.4,Iris-versicolor
35,6.4,3.2,,1.5,
36,,2.8,,1.5,Iris-versicolor
37,5.7,2.8,,,Iris-versicolor
38,,2.4,3.3,1.0,Iris-versicolor
39,6.6,2.9,4.6,1.3,Iris-versicolor
40,,2.7,,1.4,Iris-versicolor
41,5.0,2.0,3.5,1.0,Iris-versicolor
42,5.9,,,1.5,Iris-versicolor
43,6.1,,4.7,1.4,Iris-versicolor
44,5.6,2.9,,1.3,Iris-versicolor
45,6.7,3.1,,1.4,Iris-versicolor
46,5.6,3.0,4.5,1.5,
47,5.8,2.7,,,Iris-versicolor
48,,2.5,,,Iris-versicolor
49,6.1,,4.0,1.3,Iris-versicolor
50,6.3,2.5,4.9,,Iris-versicolor
51,,2.8,,1.2,Iris-versicolor
52,,3.0,,,Iris-versicolor
53,6.8,2.8,4.8,1.4,Iris-versicolor
54,6.7,,5.0,1.7,Iris-versicolor
55,6.0,2.9,4.5,1.5,Iris-versicolor
56,5.7,,3.5,1.0,
57,5.5,2.4,3.8,1.1,Iris-versicolor
58,5.5,,3.7,1.0,Iris-versicolor
59,,2.7,3.9,1.2,Iris-versicolor
60,6.0,2.7,5.1,1.6,Iris-versicolor
61,5.4,,4.5,1.5,
62,6.0,3.4,4.5,1.6,
63,6.7,3.1,,1.5,Iris-versicolor
64,6.3,2.3,4.4,,
65,5.6,3.0,,1.3,Iris-versicolor
66,5.5,2.5,,1.3,
67,5.5,2.6,4.4,,Iris-versicolor
68,,3.0,4.6,1.4,
69,5.0,2.3,3.3,1.0,Iris-versicolor
70,5.6,2.7,4.2,1.3,Iris-versicolor
71,5.7,3.0,,,Iris-versicolor
72,,,,1.3,Iris-versicolor
73,6.2,2.9,4.3,,Iris-versicolor
74,5.1,2.5,3.0,1.1,Iris-versicolor
75,5.7,2.8,4.1,1.3,Iris-versicolor
76,,,5.1,1.9,
77,6.3,2.9,5.6,1.8,Iris-virginica
78,6.5,3.0,5.8,2.2,Iris-virginica
79,,3.0,6.6,,
80,,,6.3,1.8,Iris-virginica
81,6.4,2.7,5.3,,
82,5.8,2.8,5.1,2.4,Iris-virginica
83,,3.2,5.3,,Iris-virginica
84,,3.0,5.5,,Iris-virginica
85,7.7,3.8,,2.2,Iris-virginica
86,7.7,2.6,6.9,,
87,6.9,3.2,5.7,2.3,Iris-virginica
88,5.6,,4.9,2.0,Iris-virginica
89,7.7,2.8,6.7,2.0,
90,6.3,,4.9,1.8,
91,7.2,3.2,,,Iris-virginica
92,6.2,2.8,4.8,1.8,
93,6.1,,4.9,,
94,,2.8,,,
95,7.2,,5.8,,Iris-virginica
96,7.4,,6.1,,Iris-virginica
97,7.9,,6.4,2.0,
98,6.4,2.8,,,Iris-virginica
99,,,,,Iris-virginica
100,6.1,2.6,,1.4,Iris-virginica
101,7.7,3.0,6.1,2.3,
102,6.3,3.4,,,
103,,,,,Iris-virginica
104,6.0,3.0,,1.8,
105,,,5.4,2.1,Iris-virginica
106,6.9,3.1,5.1,,Iris-virginica
107,5.8,2.7,5.1,1.9,
108,6.7,,5.7,2.5,Iris-virginica
109,,3.0,5.2,2.3,Iris-virginica
110,6.3,2.5,5.0,1.9,
111,,3.4,5.4,2.3,Iris-virginica
112,5.9,3.0,,,Iris-virginica
