,sepal length,sepal width,petal length,petal width,type
0,4.9,3.0,1.4,0.2,Iris-setosa
1,4.6,3.1,1.5,0.2,Iris-setosa
2,5.4,3.9,1.7,0.4,Iris-setosa
3,4.6,3.4,1.4,0.3,Iris-setosa
4,5.0,3.4,1.5,0.2,Iris-setosa
5,4.9,3.1,1.5,0.1,Iris-setosa
6,4.8,3.4,1.6,0.2,Iris-setosa
7,4.8,3.0,1.4,0.1,Iris-setosa
8,5.8,4.0,1.2,0.2,Iris-setosa
9,5.4,3.9,1.3,0.4,Iris-setosa
10,5.1,3.5,1.4,0.3,Iris-setosa
11,5.1,3.8,1.5,0.3,Iris-setosa
12,5.4,3.4,1.7,0.2,Iris-setosa
13,5.1,3.7,1.5,0.4,Iris-setosa
14,4.6,3.6,1.0,0.2,Iris-setosa
15,4.8,3.4,1.9,0.2,Iris-setosa
16,5.0,3.0,1.6,0.2,Iris-setosa
17,5.0,3.4,1.6,0.4,Iris-setosa
18,4.8,3.1,1.6,0.2,Iris-setosa
19,5.4,3.4,1.5,0.4,Iris-setosa
20,5.2,4.1,1.5,0.1,Iris-setosa
21,5.5,4.2,1.4,0.2,Iris-setosa
22,4.9,3.1,1.5,0.1,Iris-setosa
23,5.0,3.2,1.2,0.2,Iris-setosa
24,5.5,3.5,1.3,0.2,Iris-setosa
25,4.9,3.1,1.5,0.1,Iris-setosa
26,4.4,3.0,1.3,0.2,Iris-setosa
27,5.1,3.4,1.5,0.2,Iris-setosa
28,5.0,3.5,1.3,0.3,Iris-setosa
29,4.4,3.2,1.3,0.2,Iris-setosa
30,5.0,3.5,1.6,0.6,Iris-setosa
31,5.1,3.8,1.6,0.2,Iris-setosa
32,5.3,3.7,1.5,0.2,Iris-setosa
33,5.0,3.3,1.4,0.2,Iris-setosa
34,7.0,3.2,4.7,1.4,Iris-versicolor
35,6.4,3.2,4.5,1.5,Iris-versicolor
36,6.5,2.8,4.6,1.5,Iris-versicolor
37,5.7,2.8,4.5,1.3,Iris-versicolor
38,4.9,2.4,3.3,1.0,Iris-versicolor
39,6.6,2.9,4.6,1.3,Iris-versicolor
40,5.2,2.7,3.9,1.4,Iris-versicolor
41,5.0,2.0,3.5,1.0,Iris-versicolor
42,5.9,3.0,4.2,1.5,Iris-versicolor
