,sepal length,sepal width,petal length,petal width,type
0,5.1,3.5,,,
1,,3.2,1.3,0.2,
2,,3.1,1.5,0.2,Iris-setosa
3,5.0,,,0.2,Iris-setosa
4,4.6,3.4,,,
5,5.0,3.4,1.5,0.2,
6,,2.9,1.4,0.2,Iris-setosa
7,,3.1,1.5,,
8,,,1.5,0.2,Iris-setosa
9,4.8,3.4,1.6,,Iris-setosa
10,5.4,3.9,,0.4,Iris-setosa
11,5.1,,1.4,0.3,Iris-setosa
12,,3.8,,,
13,,3.8,1.5,,
14,5.4,3.4,1.7,,
15,5.1,3.7,,0.4,Iris-setosa
16,,3.6,1.0,,Iris-setosa
17,5.1,,,,
18,,3.4,1.9,0.2,Iris-setosa
19,,3.0,,,Iris-setosa
20,5.0,,1.6,0.4,
21,5.2,3.5,,0.2,Iris-setosa
22,5.2,3.4,1.4,,
23,,3.2,,0.2,
24,5.2,4.1,1.5,0.1,
25,5.5,4.2,,0.2,Iris-setosa
26,4.9,,,,
27,5.0,,,0.2,Iris-setosa
28,,3.1,1.5,,Iris-setosa
29,4.4,3.0,1.3,,Iris-setosa
30,4.5,2.3,1.3,0.3,
31,,3.2,1.3,0.2,Iris-setosa
32,5.0,3.5,1.6,,Iris-setosa
33,5.1,3.8,,,
34,,3.0,1.4,0.3,Iris-setosa
35,5.1,3.8,1.6,0.2,
36,,3.2,4.5,1.5,
37,,,,,Iris-versicolor
38,,,,,Iris-versicolor
39,6.5,2.8,4.6,1.5,Iris-versicolor
40,,,,,
41,6.3,,,,
42,4.9,2.4,,1.0,Iris-versicolor
43,,,,1.3,Iris-versicolor
44,5.2,2.7,3.9,1.4,Iris-versicolor
45,,2.0,3.5,1.0,Iris-versicolor
46,5.9,,4.2,,Iris-versicolor
47,6.0,,,1.0,
48,6.1,,4.7,1.4,Iris-versicolor
49,5.6,2.9,3.6,1.3,Iris-versicolor
50,,3.1,4.4,1.4,Iris-versicolor
51,,2.7,4.1,1.0,
52,,2.2,,1.5,Iris-versicolor
53,5.6,2.5,,,
54,5.9,,,1.8,Iris-versicolor
55,6.1,2.8,4.0,,Iris-versicolor
56,6.3,,,1.5,
57,6.1,2.8,4.7,,Iris-versicolor
58,6.4,,4.3,1.3,Iris-versicolor
59,,3.0,,1.4,
60,6.8,,4.8,1.4,
61,,,4.5,1.5,Iris-versicolor
62,5.7,2.6,3.5,1.0,
63,5.5,2.4,,,
64,5.5,,3.7,,Iris-versicolor
65,6.0,,,1.6,Iris-versicolor
66,5.4,3.0,4.5,1.5,
67,,3.4,,,
68,,2.3,4.4,1.3,Iris-versicolor
69,,,4.1,,Iris-versicolor
70,5.5,2.5,4.0,1.3,Iris-versicolor
71,5.5,,,,Iris-versicolor
72,,,4.6,1.4,
73,,,4.0,1.2,
74,,,3.3,1.0,
75,5.1,,,1.1,Iris-versicolor
76,,,4.1,1.3,
77,5.8,2.7,5.1,1.9,Iris-virginica
78,7.1,,,2.1,Iris-virginica
79,,2.9,,1.8,
80,6.5,3.0,,2.2,
81,7.6,,6.6,2.1,Iris-virginica
82,4.9,,4.5,1.7,Iris-virginica
83,,2.5,5.8,1.8,
84,,3.6,6.1,2.5,
85,6.4,2.7,,,Iris-virginica
86,,2.5,,2.0,
87,5.8,2.8,5.1,,Iris-virginica
88,6.4,,,,Iris-virginica
89,6.5,,5.5,1.8,
90,,2.6,6.9,2.3,Iris-virginica
91,6.0,,5.0,1.5,
92,6.9,,5.7,2.3,Iris-virginica
93,,2.8,,2.0,Iris-virginica
94,,2.8,6.7,2.0,Iris-virginica
95,,2.7,4.9,,
96,6.7,,5.7,,Iris-virginica
97,,3.2,6.0,1.8,
98,6.2,,4.8,1.8,Iris-virginica
99,6.1,3.0,,1.8,Iris-virginica
100,7.9,,6.4,2.0,Iris-virginica
101,6.4,,5.6,,
102,6.3,,,,
103,,,5.6,2.4,Iris-virginica
104,,3.0,,1.8,
105,6.9,,,2.1,Iris-virginica
106,,,5.6,,Iris-virginica
107,,,,2.3,
108,5.8,2.7,5.1,,
109,,3.2,5.9,,
110,6.7,,5.7,,Iris-virginica
111,6.7,3.0,,2.3,Iris-virginica
112,6.5,3.0,5.2,,Iris-virginica
