,sepal length,sepal width,petal length,petal width,type
0,5.1,3.5,1.4,0.2,Iris-setosa
1,4.7,3.2,1.3,0.2,Iris-setosa
2,4.6,3.1,1.5,0.2,Iris-setosa
3,5.0,3.6,1.4,0.2,Iris-setosa
4,4.6,3.4,1.4,0.3,Iris-setosa
5,5.0,3.4,1.5,0.2,Iris-setosa
6,4.4,2.9,1.4,0.2,Iris-setosa
7,4.9,3.1,1.5,0.1,Iris-setosa
8,5.4,3.7,1.5,0.2,Iris-setosa
9,4.8,3.4,1.6,0.2,Iris-setosa
10,5.4,3.9,1.3,0.4,Iris-setosa
11,5.1,3.5,1.4,0.3,Iris-setosa
12,5.7,3.8,1.7,0.3,Iris-setosa
13,5.1,3.8,1.5,0.3,Iris-setosa
14,5.4,3.4,1.7,0.2,Iris-setosa
15,5.1,3.7,1.5,0.4,Iris-setosa
16,4.6,3.6,1.0,0.2,Iris-setosa
17,5.1,3.3,1.7,0.5,Iris-setosa
18,4.8,3.4,1.9,0.2,Iris-setosa
19,5.0,3.0,1.6,0.2,Iris-setosa
20,5.0,3.4,1.6,0.4,Iris-setosa
21,5.2,3.5,1.5,0.2,Iris-setosa
22,5.2,3.4,1.4,0.2,Iris-setosa
23,4.7,3.2,1.6,0.2,Iris-setosa
24,5.2,4.1,1.5,0.1,Iris-setosa
25,5.5,4.2,1.4,0.2,Iris-setosa
26,4.9,3.1,1.5,0.1,Iris-setosa
27,5.0,3.2,1.2,0.2,Iris-setosa
28,4.9,3.1,1.5,0.1,Iris-setosa
29,4.4,3.0,1.3,0.2,Iris-setosa
30,4.5,2.3,1.3,0.3,Iris-setosa
31,4.4,3.2,1.3,0.2,Iris-setosa
32,5.0,3.5,1.6,0.6,Iris-setosa
33,5.1,3.8,1.9,0.4,Iris-setosa
34,4.8,3.0,1.4,0.3,Iris-setosa
35,5.1,3.8,1.6,0.2,Iris-setosa
36,6.4,3.2,4.5,1.5,Iris-versicolor
37,6.9,3.1,4.9,1.5,Iris-versicolor
38,5.5,2.3,4.0,1.3,Iris-versicolor
39,6.5,2.8,4.6,1.5,Iris-versicolor
40,5.7,2.8,4.5,1.3,Iris-versicolor
41,6.3,3.3,4.7,1.6,Iris-versicolor
42,4.9,2.4,3.3,1.0,Iris-versicolor
43,6.6,2.9,4.6,1.3,Iris-versicolor
44,5.2,2.7,3.9,1.4,Iris-versicolor
45,5.0,2.0,3.5,1.0,Iris-versicolor
46,5.9,3.0,4.2,1.5,Iris-versicolor
47,6.0,2.2,4.0,1.0,Iris-versicolor
48,6.1,2.9,4.7,1.4,Iris-versicolor
49,5.6,2.9,3.6,1.3,Iris-versicolor
50,6.7,3.1,4.4,1.4,Iris-versicolor
51,5.8,2.7,4.1,1.0,Iris-versicolor
52,6.2,2.2,4.5,1.5,Iris-versicolor
53,5.6,2.5,3.9,1.1,Iris-versicolor
54,5.9,3.2,4.8,1.8,Iris-versicolor
55,6.1,2.8,4.0,1.3,Iris-versicolor
56,6.3,2.5,4.9,1.5,Iris-versicolor
57,6.1,2.8,4.7,1.2,Iris-versicolor
58,6.4,2.9,4.3,1.3,Iris-versicolor
59,6.6,3.0,4.4,1.4,Iris-versicolor
60,6.8,2.8,4.8,1.4,Iris-versicolor
61,6.0,2.9,4.5,1.5,Iris-versicolor
62,5.7,2.6,3.5,1.0,Iris-versicolor
63,5.5,2.4,3.8,1.1,Iris-versicolor
64,5.5,2.4,3.7,1.0,Iris-versicolor
65,6.0,2.7,5.1,1.6,Iris-versicolor
66,5.4,3.0,4.5,1.5,Iris-versicolor
67,6.0,3.4,4.5,1.6,Iris-versicolor
68,6.3,2.3,4.4,1.3,Iris-versicolor
69,5.6,3.0,4.1,1.3,Iris-versicolor
70,5.5,2.5,4.0,1.3,Iris-versicolor
71,5.5,2.6,4.4,1.2,Iris-versicolor
72,6.1,3.0,4.6,1.4,Iris-versicolor
73,5.8,2.6,4.0,1.2,Iris-versicolor
74,5.0,2.3,3.3,1.0,Iris-versicolor
75,5.1,2.5,3.0,1.1,Iris-versicolor
76,5.7,2.8,4.1,1.3,Iris-versicolor
77,5.8,2.7,5.1,1.9,Iris-virginica
78,7.1,3.0,5.9,2.1,Iris-virginica
79,6.3,2.9,5.6,1.8,Iris-virginica
80,6.5,3.0,5.8,2.2,Iris-virginica
81,7.6,3.0,6.6,2.1,Iris-virginica
82,4.9,2.5,4.5,1.7,Iris-virginica
83,6.7,2.5,5.8,1.8,Iris-virginica
84,7.2,3.6,6.1,2.5,Iris-virginica
85,6.4,2.7,5.3,1.9,Iris-virginica
86,5.7,2.5,5.0,2.0,Iris-virginica
87,5.8,2.8,5.1,2.4,Iris-virginica
88,6.4,3.2,5.3,2.3,Iris-virginica
89,6.5,3.0,5.5,1.8,Iris-virginica
90,7.7,2.6,6.9,2.3,Iris-virginica
91,6.0,2.2,5.0,1.5,Iris-virginica
92,6.9,3.2,5.7,2.3,Iris-virginica
93,5.6,2.8,4.9,2.0,Iris-virginica
94,7.7,2.8,6.7,2.0,Iris-virginica
95,6.3,2.7,4.9,1.8,Iris-virginica
96,6.7,3.3,5.7,2.1,Iris-virginica
97,7.2,3.2,6.0,1.8,Iris-virginica
98,6.2,2.8,4.8,1.8,Iris-virginica
99,6.1,3.0,4.9,1.8,Iris-virginica
100,7.9,3.8,6.4,2.0,Iris-virginica
101,6.4,2.8,5.6,2.2,Iris-virginica
102,6.3,2.8,5.1,1.5,Iris-virginica
103,6.3,3.4,5.6,2.4,Iris-virginica
104,6.0,3.0,4.8,1.8,Iris-virginica
105,6.9,3.1,5.4,2.1,Iris-virginica
106,6.7,3.1,5.6,2.4,Iris-virginica
107,6.9,3.1,5.1,2.3,Iris-virginica
108,5.8,2.7,5.1,1.9,Iris-virginica
109,6.8,3.2,5.9,2.3,Iris-virginica
110,6.7,3.3,5.7,2.5,Iris-virginica
111,6.7,3.0,5.2,2.3,Iris-virginica
112,6.5,3.0,5.2,2.0,Iris-virginica
